                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.368,                 4.0903,                 4.2739,                0.00047,                0.00739,                0.00024,                  7e-05,                 5.3474,                 3.8574,                 4.1604,                  6e-05,                  6e-05,                  6e-05
                      2,                 5.0971,                 3.9738,                 4.2656,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3474,                 3.8544,                 4.1609,             0.00013827,             0.00013827,             0.00013827
                      3,                 4.8769,                 3.8563,                   4.23,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3471,                  3.854,                  4.161,             0.00021456,             0.00021456,             0.00021456
                      4,                 5.1087,                 3.7045,                  4.104,                0.00047,                0.00739,                0.00024,                  8e-05,                 5.3467,                 3.8585,                 4.1606,             0.00028886,             0.00028886,             0.00028886
                      5,                 4.7332,                 3.3648,                 4.0557,                0.00053,                0.00845,                0.00027,                  8e-05,                 5.3465,                 3.8601,                 4.1618,             0.00036119,             0.00036119,             0.00036119
                      6,                 4.4158,                 3.2107,                 3.9493,                0.00073,                0.01162,                0.00039,                0.00012,                 5.3494,                  3.869,                 4.1651,             0.00043154,             0.00043154,             0.00043154
                      7,                 4.2137,                 2.9628,                 3.8719,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3514,                 3.8866,                 4.1718,             0.00049991,             0.00049991,             0.00049991
                      8,                 4.0521,                 2.7776,                 3.7404,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3555,                 3.9151,                 4.1859,             0.00056629,             0.00056629,             0.00056629
                      9,                 4.0777,                 2.5967,                 3.5578,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3621,                 3.9519,                 4.2036,              0.0006307,              0.0006307,              0.0006307
                     10,                 3.5988,                 2.5258,                 3.5361,                 0.0008,                0.01267,                0.00042,                0.00012,                 5.3676,                 3.9846,                 4.2174,             0.00069313,             0.00069313,             0.00069313
                     11,                 3.7777,                 2.5721,                 3.3504,                0.00087,                0.01373,                0.00046,                0.00014,                 5.3735,                 3.9957,                 4.2373,             0.00075357,             0.00075357,             0.00075357
                     12,                 3.4102,                 2.4122,                   3.23,                 0.0008,                0.01267,                0.00042,                0.00013,                 5.3811,                 4.0306,                 4.2552,             0.00081204,             0.00081204,             0.00081204
                     13,                 3.3909,                 2.3186,                 2.9703,                0.00093,                0.01478,                0.00049,                0.00016,                 5.3914,                 4.0471,                 4.2842,             0.00086853,             0.00086853,             0.00086853
                     14,                 3.1999,                 2.4091,                 2.9093,                0.00093,                0.01478,                0.00049,                0.00016,                 5.3844,                 3.9787,                 4.2525,             0.00092304,             0.00092304,             0.00092304
                     15,                 3.0855,                 2.2875,                 2.8611,                0.00093,                0.01478,                0.00049,                0.00018,                 5.4136,                 4.2408,                 4.4331,             0.00097556,             0.00097556,             0.00097556
                     16,                 3.1198,                 2.1666,                 2.7398,                0.00087,                0.01373,                0.00046,                0.00016,                 5.4272,                 4.1878,                 4.5412,              0.0010261,              0.0010261,              0.0010261
                     17,                 3.0315,                 2.1821,                 2.7275,                0.00093,                0.01478,                0.00049,                0.00017,                 5.4349,                 4.1835,                 4.5728,              0.0010747,              0.0010747,              0.0010747
                     18,                 3.1555,                 2.1934,                 2.6326,                0.00099,                0.01478,                0.00052,                0.00017,                  5.429,                 4.1943,                 4.5438,              0.0011213,              0.0011213,              0.0011213
                     19,                 2.9693,                 2.1681,                 2.6409,                0.00099,                0.01478,                0.00052,                0.00015,                 5.4301,                 4.2144,                 4.5512,              0.0011659,              0.0011659,              0.0011659
                     20,                 2.8765,                 2.1638,                 2.5646,                  0.001,                0.01478,                0.00053,                0.00016,                 5.4237,                 4.1107,                 4.4801,              0.0012085,              0.0012085,              0.0012085
                     21,                 2.9306,                 2.0132,                 2.3228,                0.00103,                0.01478,                0.00054,                0.00016,                 5.4088,                 3.9866,                  4.417,              0.0012491,              0.0012491,              0.0012491
                     22,                 2.8039,                 2.1913,                 2.4018,                0.00106,                0.01478,                0.00055,                0.00017,                 5.4165,                 4.1096,                 4.5277,              0.0012878,              0.0012878,              0.0012878
                     23,                 2.7875,                 2.0927,                 2.4901,                0.00179,                0.01162,                0.00091,                0.00024,                 5.4089,                 4.1926,                 4.6292,              0.0013245,              0.0013245,              0.0013245
                     24,                 2.8657,                 2.1343,                 2.4569,                0.00163,                0.01056,                0.00083,                0.00024,                 5.3804,                 4.1492,                 4.6333,              0.0013592,              0.0013592,              0.0013592
                     25,                 2.8033,                 1.9908,                 2.3712,                0.00286,                0.01901,                0.00146,                 0.0004,                 5.2678,                 3.9321,                 4.4828,              0.0013919,              0.0013919,              0.0013919
                     26,                 2.7189,                  1.968,                 2.3125,                0.00598,                0.04963,                0.00815,                0.00437,                 5.0483,                 3.6564,                  4.258,              0.0013813,              0.0013813,              0.0013813
                     27,                  2.746,                  1.904,                 2.2047,                0.00859,                0.10243,                0.01171,                0.00481,                 4.6129,                 3.2976,                 3.9182,              0.0013565,              0.0013565,              0.0013565
                     28,                 2.7152,                 1.9341,                  2.229,                0.01251,                0.18796,                0.01952,                0.00688,                 4.1808,                 2.9413,                  3.529,              0.0013318,              0.0013318,              0.0013318
                     29,                 2.6607,                 1.8153,                 2.1569,                0.08343,                 0.0887,                0.03054,                   0.01,                 3.7754,                 2.6832,                  3.159,               0.001307,               0.001307,               0.001307
                     30,                 2.5924,                 1.8208,                 2.1166,                0.11775,                0.10876,                0.04181,                0.01394,                 3.5303,                 2.6307,                 2.9885,              0.0012822,              0.0012822,              0.0012822
                     31,                  2.787,                 1.7512,                 2.0465,                0.12646,                0.11299,                 0.0532,                0.01653,                 3.3661,                 2.6082,                 2.8694,              0.0012575,              0.0012575,              0.0012575
                     32,                 2.6449,                 1.7219,                  2.065,                0.15713,                0.13939,                0.07541,                0.01991,                 3.2319,                 2.5305,                  2.754,              0.0012328,              0.0012328,              0.0012328
                     33,                  2.781,                 1.7333,                 2.1061,                0.18912,                0.14678,                0.09193,                0.02417,                 3.1166,                 2.4131,                  2.618,               0.001208,               0.001208,               0.001208
                     34,                 2.6229,                 1.7243,                  2.036,                 0.2429,                0.21647,                0.12388,                0.03622,                 3.0078,                 2.2759,                 2.4582,              0.0011833,              0.0011833,              0.0011833
                     35,                 2.5703,                 1.7695,                 2.1111,                0.24989,                0.26525,                0.14986,                0.04481,                 2.9893,                 2.2542,                 2.4131,              0.0011585,              0.0011585,              0.0011585
                     36,                 2.6047,                 1.8411,                  2.173,                 0.2377,                0.27856,                 0.1501,                0.04311,                 3.0605,                 2.2359,                 2.4412,              0.0011337,              0.0011337,              0.0011337
                     37,                 2.6943,                 1.6916,                 2.0019,                0.21147,                0.29039,                0.13687,                0.04069,                 3.1057,                 2.3109,                 2.4792,               0.001109,               0.001109,               0.001109
                     38,                 2.4961,                 1.7195,                 2.0336,                0.21002,                 0.2925,                0.13606,                0.03932,                 3.0632,                 2.3911,                  2.463,              0.0010842,              0.0010842,              0.0010842
                     39,                 2.5631,                 1.5863,                 1.8989,                0.18419,                0.24498,                0.11392,                0.03545,                 3.1182,                 2.6217,                 2.5106,              0.0010595,              0.0010595,              0.0010595
                     40,                 2.5033,                  1.794,                 2.0003,                0.12997,                0.23126,                0.06863,                0.02154,                 3.1106,                 2.8224,                 2.5015,              0.0010347,              0.0010347,              0.0010347
                     41,                 2.5617,                 1.7112,                 2.0205,                0.09885,                0.25137,                0.05579,                0.01799,                 3.0619,                 2.8045,                 2.4394,                0.00101,                0.00101,                0.00101
                     42,                 2.5377,                 1.7882,                 2.0287,                0.13681,                0.31151,                0.08351,                0.02893,                 2.7866,                  2.451,                 2.2432,             0.00098525,             0.00098525,             0.00098525
                     43,                 2.5503,                 1.7127,                 1.9052,                0.35703,                0.34108,                0.27055,                0.09008,                   2.62,                 2.0302,                 2.1228,              0.0009605,              0.0009605,              0.0009605
                     44,                 2.5266,                 1.6556,                 1.8589,                0.44364,                0.42354,                0.36327,                0.12567,                 2.5104,                 1.7848,                 2.0414,             0.00093575,             0.00093575,             0.00093575
                     45,                  2.476,                 1.6035,                 1.8943,                 0.4558,                0.42767,                0.40363,                0.14355,                 2.4684,                 1.6863,                 2.0137,               0.000911,               0.000911,               0.000911
                     46,                 2.5141,                  1.559,                 1.8831,                0.44927,                0.41499,                0.39233,                0.13869,                 2.4803,                 1.6916,                  2.011,             0.00088625,             0.00088625,             0.00088625
                     47,                  2.444,                 1.6653,                 1.9736,                0.42475,                0.43295,                0.38111,                0.13382,                 2.4807,                 1.7079,                  2.014,              0.0008615,              0.0008615,              0.0008615
                     48,                 2.4533,                 1.5993,                 1.9508,                0.47208,                0.46648,                0.43103,                0.15598,                 2.4149,                 1.6785,                 1.9786,             0.00083675,             0.00083675,             0.00083675
                     49,                 2.5589,                   1.69,                  1.949,                0.52858,                0.50158,                0.49212,                0.18112,                 2.3227,                 1.6202,                 1.9218,               0.000812,               0.000812,               0.000812
                     50,                 2.4899,                 1.6302,                 1.8963,                0.49481,                0.50053,                0.45883,                0.17089,                 2.2942,                 1.5927,                 1.9084,             0.00078725,             0.00078725,             0.00078725
                     51,                 2.4553,                 1.5704,                 1.9248,                0.47633,                0.47413,                0.43058,                0.16084,                 2.3255,                   1.59,                 1.9248,              0.0007625,              0.0007625,              0.0007625
                     52,                 2.4808,                 1.6248,                  1.932,                0.49245,                0.46251,                0.44999,                0.16483,                 2.3706,                 1.5783,                 1.9482,             0.00073775,             0.00073775,             0.00073775
                     53,                 2.3935,                 1.5722,                 1.8468,                0.54092,                 0.4699,                0.49145,                0.18261,                 2.3354,                 1.5395,                 1.9251,               0.000713,               0.000713,               0.000713
                     54,                 2.4367,                 1.5612,                 1.8718,                 0.5798,                 0.4881,                0.53278,                0.20333,                 2.2729,                  1.505,                 1.8807,             0.00068825,             0.00068825,             0.00068825
                     55,                 2.4301,                 1.5885,                 1.8918,                0.59149,                0.50898,                0.55566,                 0.2144,                 2.2555,                 1.4879,                 1.8491,              0.0006635,              0.0006635,              0.0006635
                     56,                 2.4465,                 1.6391,                  1.852,                0.57481,                0.52392,                0.56061,                0.21655,                 2.2493,                 1.4825,                 1.8333,             0.00063875,             0.00063875,             0.00063875
                     57,                 2.4184,                 1.5092,                 1.8386,                0.54131,                 0.5037,                0.52258,                0.20271,                 2.2628,                 1.4986,                 1.8437,               0.000614,               0.000614,               0.000614
                     58,                 2.4341,                  1.612,                 1.8786,                0.51171,                0.52693,                0.50569,                0.19246,                 2.2844,                 1.5041,                 1.8572,             0.00058925,             0.00058925,             0.00058925
                     59,                 2.3768,                  1.578,                 1.9065,                0.53492,                0.53643,                0.51321,                0.18695,                 2.3308,                 1.5054,                 1.8798,              0.0005645,              0.0005645,              0.0005645
                     60,                 2.3565,                 1.5372,                  1.833,                0.54026,                 0.4963,                0.49337,                0.17697,                 2.3335,                 1.4923,                 1.8766,             0.00053975,             0.00053975,             0.00053975
                     61,                 2.4219,                 1.5347,                 1.7912,                0.49218,                0.50475,                0.45378,                0.16885,                  2.284,                  1.505,                  1.853,               0.000515,               0.000515,               0.000515
                     62,                  2.299,                 1.5133,                 1.7709,                0.48284,                0.49314,                0.45604,                0.17924,                 2.2396,                 1.5463,                 1.8275,             0.00049025,             0.00049025,             0.00049025
                     63,                 2.4114,                 1.6631,                  1.943,                 0.5522,                0.49612,                0.51512,                0.20503,                 2.2199,                 1.5172,                 1.8132,              0.0004655,              0.0004655,              0.0004655
                     64,                 2.4281,                 1.5977,                 1.9886,                0.58346,                0.51918,                0.54071,                0.21336,                 2.2012,                 1.4611,                 1.8039,             0.00044075,             0.00044075,             0.00044075
                     65,                  2.427,                 1.5333,                 1.7935,                 0.5855,                0.50898,                0.54613,                0.21567,                 2.1956,                 1.4352,                 1.8028,               0.000416,               0.000416,               0.000416
                     66,                 2.3968,                 1.5181,                 1.7932,                0.59459,                0.52693,                0.57657,                0.22754,                 2.2073,                 1.4256,                 1.8092,             0.00039125,             0.00039125,             0.00039125
                     67,                 2.4102,                 1.4683,                 1.8024,                0.59675,                0.54694,                0.58825,                0.23277,                 2.2091,                 1.4124,                 1.8083,              0.0003665,              0.0003665,              0.0003665
                     68,                 2.3931,                 1.9429,                 1.9134,                0.61615,                 0.5491,                0.59262,                0.23355,                 2.2072,                 1.4103,                 1.8011,             0.00034175,             0.00034175,             0.00034175
                     69,                 2.4369,                 1.4873,                 1.7412,                0.62717,                0.55016,                 0.5999,                0.23785,                 2.1972,                 1.4093,                 1.7915,               0.000317,               0.000317,               0.000317
                     70,                 2.3322,                 1.5707,                 1.8533,                0.62504,                0.56151,                0.61283,                 0.2441,                 2.1871,                 1.4094,                 1.7858,             0.00029225,             0.00029225,             0.00029225
                     71,                 2.3566,                 1.7151,                 1.9086,                0.61231,                0.56389,                0.61212,                0.24512,                 2.1772,                 1.4123,                  1.779,              0.0002675,              0.0002675,              0.0002675
                     72,                 2.2797,                 1.6058,                  1.933,                0.62229,                0.56389,                0.61542,                  0.248,                 2.1682,                 1.4108,                 1.7736,             0.00024275,             0.00024275,             0.00024275
                     73,                 2.2706,                 1.5507,                 1.8517,                0.61658,                0.55861,                 0.6142,                 0.2469,                 2.1633,                 1.4159,                 1.7719,               0.000218,               0.000218,               0.000218
                     74,                 2.2749,                 1.4811,                 1.7545,                0.61069,                0.55861,                0.61367,                0.24756,                 2.1618,                 1.4185,                 1.7685,             0.00019325,             0.00019325,             0.00019325
                     75,                 2.2304,                 1.5126,                 1.7389,                0.60605,                0.55966,                0.61426,                0.24807,                 2.1568,                 1.4174,                 1.7618,              0.0001685,              0.0001685,              0.0001685
                     76,                 2.2133,                  1.589,                 1.7678,                0.61378,                0.55649,                 0.6154,                0.25148,                 2.1482,                 1.4105,                 1.7549,             0.00014375,             0.00014375,             0.00014375
                     77,                 2.2412,                  1.478,                 1.7454,                0.61305,                0.54699,                0.61712,                0.25278,                 2.1432,                 1.4036,                 1.7496,               0.000119,               0.000119,               0.000119
                     78,                  2.171,                  1.448,                 1.7727,                0.61412,                0.55544,                0.61682,                0.25341,                 2.1421,                 1.3989,                 1.7459,              9.425e-05,              9.425e-05,              9.425e-05
                     79,                 2.2189,                 1.4927,                 1.8182,                0.61467,                0.56389,                0.61934,                0.25545,                 2.1427,                 1.3988,                 1.7444,               6.95e-05,               6.95e-05,               6.95e-05
                     80,                 2.2385,                 1.5508,                 1.8333,                0.62017,                0.56917,                0.62054,                0.25699,                 2.1437,                 1.3989,                 1.7425,              4.475e-05,              4.475e-05,              4.475e-05
